Team 3309 Log File
Date: 03/12/2015
Time: 14:10:03

Timestamp,Heading,Pitch,Roll,LeftEncCount,RightEncCount,TotalCurrent,BatteryVoltage,Power

DISABLED
TELEOP STARTED
47:48.574,0.0,0.0,0.0,798.0,616.0,0.0,0.0,0.0
47:48.594,0.0,0.0,0.0,820.0,625.0,0.0,0.0,0.0
47:48.614,0.0,0.0,0.0,843.0,633.0,0.0,0.0,0.0
47:48.633,0.0,0.0,0.0,865.0,657.0,0.0,0.0,0.0
47:48.653,0.0,0.0,0.0,888.0,681.0,0.0,0.0,0.0
47:48.673,0.0,0.0,0.0,911.0,706.0,0.0,0.0,0.0
47:48.693,0.0,0.0,0.0,934.0,729.0,0.0,0.0,0.0
47:48.713,0.0,0.0,0.0,957.0,753.0,0.0,0.0,0.0
47:48.752,0.0,0.0,0.0,980.0,773.0,0.0,0.0,0.0
47:48.788,0.0,0.0,0.0,1026.0,808.0,0.0,0.0,0.0
47:48.815,0.0,0.0,0.0,1069.0,826.0,0.0,0.0,0.0
47:48.852,0.0,0.0,0.0,1116.0,856.0,0.0,0.0,0.0
47:48.872,0.0,0.0,0.0,1140.0,881.0,0.0,0.0,0.0
47:48.892,0.0,0.0,0.0,1163.0,904.0,0.0,0.0,0.0
47:48.914,0.0,0.0,0.0,1188.0,931.0,0.0,0.0,0.0
47:48.932,0.0,0.0,0.0,1208.0,952.0,0.0,0.0,0.0
47:48.954,0.0,0.0,0.0,1233.0,973.0,0.0,0.0,0.0
47:48.975,0.0,0.0,0.0,1257.0,994.0,0.0,0.0,0.0
47:49.012,0.0,0.0,0.0,1301.0,1019.0,0.0,0.0,0.0
47:49.033,0.0,0.0,0.0,1324.0,1026.0,0.0,0.0,0.0
47:49.062,0.0,0.0,0.0,1346.0,1039.0,0.0,0.0,0.0
47:49.091,0.0,0.0,0.0,1390.0,1085.0,0.0,0.0,0.0
47:49.115,0.0,0.0,0.0,1415.0,1112.0,0.0,0.0,0.0
47:49.134,0.0,0.0,0.0,1438.0,1137.0,0.0,0.0,0.0
47:49.152,0.0,0.0,0.0,1460.0,1159.0,0.0,0.0,0.0
47:49.173,0.0,0.0,0.0,1483.0,1182.0,0.0,0.0,0.0
47:49.194,0.0,0.0,0.0,1506.0,1201.0,0.0,0.0,0.0
47:49.212,0.0,0.0,0.0,1528.0,1214.0,0.0,0.0,0.0
47:49.233,0.0,0.0,0.0,1551.0,1227.0,0.0,0.0,0.0
47:49.252,0.0,0.0,0.0,1575.0,1232.0,0.0,0.0,0.0
47:49.273,0.0,0.0,0.0,1599.0,1250.0,0.0,0.0,0.0
47:49.293,0.0,0.0,0.0,1622.0,1275.0,0.0,0.0,0.0
47:49.315,0.0,0.0,0.0,1645.0,1300.0,0.0,0.0,0.0
47:49.361,0.0,0.0,0.0,1688.0,1346.0,0.0,0.0,0.0
47:49.396,0.0,0.0,0.0,1733.0,1388.0,0.0,0.0,0.0
47:49.432,0.0,0.0,0.0,1779.0,1416.0,0.0,0.0,0.0
47:49.449,0.0,0.0,0.0,1802.0,1428.0,0.0,0.0,0.0
47:49.473,0.0,0.0,0.0,1825.0,1432.0,0.0,0.0,0.0
47:49.493,0.0,0.0,0.0,1848.0,1448.0,0.0,0.0,0.0
47:49.512,0.0,0.0,0.0,1870.0,1471.0,0.0,0.0,0.0
47:49.533,0.0,0.0,0.0,1894.0,1495.0,0.0,0.0,0.0
47:49.570,0.0,0.0,0.0,1939.0,1542.0,0.0,0.0,0.0
47:49.592,0.0,0.0,0.0,1963.0,1566.0,0.0,0.0,0.0
47:49.613,0.0,0.0,0.0,1987.0,1588.0,0.0,0.0,0.0
47:49.632,0.0,0.0,0.0,2009.0,1607.0,0.0,0.0,0.0
